"S1.1","S1.2","S1.3","S2.1","S2.2","S2.3","S3.1","S3.2","S3.3"
"Glyma05g36620.2",6.047376089,5.565744113,6.408358284,6.664117184,5.289741575,5.140715616,7.125875998,6.313429646,6.35089153
"Glyma06g08586.1",3.928861976,3.963154457,4.083789975,4.485384761,4.764524293,4.164186463,5.192490224,4.922260524,5.382087334
"Glyma15g04071.1",6.975760616,7.405710815,6.757941357,5.711719484,6.660204368,7.033105454,5.913793844,6.153718151,6.510933963
"Glyma09g33230.1",4.189719725,4.118869227,4.392694045,2.504094126,1.495619672,0.802444419,1.960025921,2.664562324,0.802444419
"Glyma04g17600.1",8.74953543,8.598141981,9.01034761,2.504094126,2.926515396,2.815709867,3.181867923,2.050358216,2.134442499
"Glyma15g14150.1",8.739493215,8.846954682,8.746112697,7.639414581,7.546374537,7.513942154,7.050527128,7.007772793,6.202448784
"Glyma03g01781.1",5.498797641,4.936976565,5.572272223,4.485384761,3.964029309,3.648803158,4.029452583,3.98097683,4.269312365
"Glyma18g03550.1",4.768720191,4.894838485,5.319782443,5.467097437,4.742480895,4.62150018,5.525432095,5.421074333,5.267030324
"Glyma13g00570.2",5.837262082,4.806651191,5.547687564,3.508926494,4.109900021,4.051948721,3.669489075,3.665507789,4.143559112
"Glyma11g27050.1",2.57615938,3.070193613,2.634493029,2.504094126,1.495619672,0.802444419,2.400776787,2.59424315,2.979755932
"Glyma07g17400.1",3.60822179,3.070193613,3.262081821,0.802444419,2.152379961,2.815709867,1.960025921,1.606099385,3.255648587
"Glyma09g33530.6",5.055331333,4.760433252,4.958275528,2.504094126,4.21019923,3.295618641,4.029452583,4.150184819,4.683947725
"Glyma10g32840.2",3.189934035,3.219282553,2.906502055,0.802444419,2.299330519,0.802444419,2.970397346,3.070683037,3.255648587
"Glyma04g34001.1",0.802444419,0.802444419,0.802444419,2.504094126,0.802444419,0.802444419,0.802444419,1.780646184,2.979755932
"Glyma11g04671.1",0.802444419,1.806181881,2.634493029,3.508926494,3.617015097,2.485804332,2.717845277,2.354658205,2.134442499
"Glyma02g26530.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma06g19220.2",0.802444419,0.802444419,2.138459829,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma05g16366.1",4.409914796,5.201655974,3.732773317,4.800537794,3.80126414,5.027465339,3.364437003,3.380640935,0.802444419
"Glyma06g30010.1",0.802444419,1.806181881,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma18g44450.1",0.802444419,1.806181881,2.412894115,5.711719484,5.752593057,5.562365272,5.449142901,5.241771817,5.767735021
"Glyma09g29146.1",4.189719725,3.878324529,4.215529758,4.485384761,4.001936034,4.904501348,4.226705426,3.817761013,4.771186028
"Glyma16g04750.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma18g16440.1",4.409914796,4.190730225,3.491326922,4.93540082,4.52711229,4.455765278,4.554162475,4.738662748,5.141950986
"Glyma08g45130.1",3.928861976,4.190730225,3.776406608,4.485384761,3.71218517,3.796464751,3.669489075,3.530423018,3.85248678
"Glyma02g11860.1",3.189934035,4.118869227,3.543105605,3.100206401,3.081390186,3.077327899,2.400776787,2.354658205,2.629277496
"Glyma07g30395.1",3.928861976,5.201655974,3.732773317,3.100206401,1.981549201,3.077327899,2.970397346,1.374338448,2.629277496
"Glyma15g00920.1",3.928861976,3.070193613,2.634493029,3.100206401,3.514821475,2.815709867,3.181867923,1.925188497,2.134442499
"Glyma07g31801.2",2.57615938,2.195941712,1.969199029,2.504094126,2.429190874,3.077327899,3.669489075,3.599612774,3.255648587
"Glyma13g12498.1",0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma17g16780.1",6.941122065,7.144057995,6.866173122,4.800537794,5.31976012,5.641367839,6.264535744,6.192598385,6.485463904
"Glyma17g36450.2",4.189719725,3.353473394,3.491326922,2.504094126,3.843760721,3.077327899,4.131515099,3.697318402,2.979755932
"Glyma08g22880.1",10.5238827,10.11051466,10.22748856,7.007091071,6.723225349,7.047664811,7.433264337,7.454056851,7.923481843
"Glyma08g16340.2",2.57615938,2.195941712,2.528801926,4.800537794,3.404429577,3.48353348,2.970397346,3.494481589,3.255648587
"Glyma18g44570.1",0.802444419,0.802444419,0.802444419,0.802444419,1.773750117,0.802444419,0.802444419,0.802444419,0.802444419
"Glyma13g23640.5",5.837262082,6.152069325,5.992140828,4.651633371,5.918556711,5.951385735,4.226705426,4.195029382,4.931168661
"Glyma15g10480.1",5.400091136,6.078884652,5.786996821,7.258552049,7.71086048,7.534760425,8.751682696,9.069194627,8.893911734
"Glyma12g32020.1",7.414942818,7.427971797,7.440203078,7.066882008,6.810238825,7.033105454,7.088693582,6.947372021,7.13612346
"Glyma18g49020.3",4.409914796,3.070193613,2.906502055,5.058658307,5.195728876,6.098559621,3.525391014,3.665507789,2.629277496
